時間,データ,分単位からカウント,状態,
2024/1/21 19:13,610,108,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:14,1055,109,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:15,660,110,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:16,773,111,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:17,786,112,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:18,671,113,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:19,676,114,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:20,680,115,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:21,560,116,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:22,319,117,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:23,306,118,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:24,350,119,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:25,618,120,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
